sentiment,review_body,product_category
1,Love! love! love! this top! i saw this online and immediately knew tha tthis had to be in my wardrobe. i wear a lot of navy....(in my estimating the classiest color there is...black is passe'). it is simple  very wearable with pants  with skirts. the very thin stripe adds interest  without really being a pattern that conflicts with other patterns. i did have an issue with some threads that were randomly hanging from sleeve cuff...but nothing important. yes  it is cropped...very much so!!! so  if,Blouses
1,This is sure to become my favorite shirt! this shirt is feminine and the fit is perfect. the white lace is strategically placed  so you do not have to wear a cami on those hot summer days  but you can for the work day. i cannot wait to wear this!!,Blouses
1,"I own quite a few pieces from retailerplogie but this one is my favorite by far! the color is a crispy white. the length is just right and has a beautiful flow to it. it is more fitted on top but flares out for a feminine appeal. i am 5' 1""  115 lbs. i bought the regular xs and it fit like a nice tunic top. perfect for a curvy figure- i wore it with my tight jeans and boots. got compliments from everyone!",Blouses
1,This is a quirky  whimsical  uniquely designed top that's sure to get a lot of comments and opinions (and hopefully good ones!). i really love it. think it is what it is  a fun  conversation piece.  and isn't that what's great about fashion? tts  very comfy  yes boxy  but i don't think in a bad way. the ruffle on the bottom is adorable. would look great with slim ivory or white denim and booties  or even a darker denim. hits mid bum. nice quality too.,Blouses
1,I wish there were be fewer asymmetrical tops in the store. i see many tops i like until i discover they have an asymmetrical hem and are longer in the back  which i do not prefer.,Blouses
-1,The cut of the bodice is very strange and unflattering. it is great quality  but designed poorly. returned it.,Dresses
-1,"The title says it all. while the quality was good  when i put this dress on a felt like i was wearing a shapeless sack fashioned out of wallpaper. the length was longer than on the model (makes sense since i am only 5'5"")  which was ok  but the overall fit was just too big. i am a size 2 and tried the xs  which was huge. just not flattering or breezy or sexy in any way. going back!",Dresses
-1,This dress ran large--maybe because the pleats made this dress too roomy. the dress hung on my right shoulder but the dress did not hold up at all on the left side of my body  maybe because i have a short torso/petite frame. i loved the yellow color for summer--it would have made for a nice dress to wear for a wedding. unfortunately  i had to return it.,Dresses
-1,"I was so excited for this dress.. but sadly it did not meet expectations. the gauze fabric already had several snags/pullers in it. the underslip was very short and just cleared my derriere.(i'm 5'7"") i normally take a 10/12 and ordered this in a l.. it was somewhat clingy in the hip area but yet bulky on top. also  i like to have the first button open  but you could then see the v neck of the underslip and it looked hokey. it's definitely a thicker material than the previous plaid tunic holding",Dresses
-1,Ordered this dress in an xs  that is the size i usually wear. this runs small  but not only that it is the way it is cut  very small through the hips  thighs and legs. hard to walk in it. the material felt kind of cheap to me. i thought it looked really good on the model  but got it home and didn't like it at all! it went back!,Dresses
-1,So disappointed in the abundance of polyester fabrics that retailer carries these days. especially at this price point. the pattern and style of this dress is beautiful  but i will never spend two hundred dollars (or even half that) on a poly dress. please add more linen  cotton  and silk!,Dresses
-1,Hahaha..this dress is hilarious! it looks nothing like the image! i am usually a 0/xs  and 4 was the smallest size available  so i ordered it. when i opened it  it felt like 10 lbs of fabric. i thought maybe i ordered a size way too big  until i could barely squeeze into the top of the dress. once i looked in the mirror  i almost fell over laughing. the rest of the dress is huge. i don't believe this dress would be flattering on anyone.,Dresses
-1,This dress is cuter is person than online  but it has one huge issue - there is a teeny tiny button at the neck that is held on by a thread and requires fingers the size of a two year old to get open. it fell off the minute i tried to undo it. i can't believe these other reviewers didn't have the same problem. or  maybe they put a snap there instead. too bad.,Dresses
-1,Looks great  the material feels great but when i put this dress on for the first time today it fell apart at the seams in the rib cage area. total disappointment! i had purchased this on sale for my graduation and was getting ready to walk out the door when i saw two holes on each side!,Dresses
0,The material is soft and the pattern is pretty  but it fits like a sack. it's too bad that this wasn't more form-fitting  with some stretch and a zipper  because its fit is just not beautiful. for tall  very slender ladies  this will be pretty  as it is in the photo. it fit me just fine (with a little extra room on top)  but it went right back into the bag without a thought.,Dresses
0,I love  love  love byron lars dresses. they fit my curves like a glove. but this one... i guess it would have fit me like a glove. but i live alone  and at the moment i don't have enough money to hire a lady's maid  and so i couldn't actually tell. it buttons all the way up the back  so you cannot put it on yourself  unless you are a contortionist. wanted to love this but can't.,Dresses
0,"Beautifully made  gorgeous colors. i wanted to love this  but it just wasn't flattering - too ""a"" shaped  not enough drape to flatter.",Dresses
0,The dress is nice  but i was not excited about the color. the only color is this blue. also everyone has their favorite fit. i think i like some other fit better. my biggest problems are color and that is made majorly from synthetic materials. otherwise it fits well and for the right body type it will be perfect fit. i like to own dresses made of more natural materials.,Dresses
0,This dress is beautiful as pictured on the model. but on me  not so much. i am normally a size 0/00 with a 32b bra size. i ordered this dress in an xs and it was just too big and boxy. i also thought the material was going to be thicker  but it was very thin and didn't seem to fall right on my body. beautiful design  just not the right material or fit.,Dresses
0,This dress is beautiful  made with high-quality fabric  unique design and color  etc.  but it fits so weird! i am hourglass shaped so this dress seemed pretty ideal  but i just couldn't make it work. it was heavy and awkward feeling when on  the clasp at the breast would definitely not stay closed long  and would undoubtedly need replacing sooner than later. the sleeves are too fluttery and long. the dress itself is just too bulky and has too much of that beautiful fabric. maybe a really tall  s,Dresses
0,I personally love this romper. there's a lot of fabric to it  so it feels lush and substantial. and the pockets! they're so roomy i actually couldn't find my phone for a hot second. the crotch of the legs (because  yes  this thing is actually pants) is very long and so i was very comfortable sitting.    the two things i don't love about this piece include the downfall of all rompers imo: not bathroom-break friendly. you basically have to disrobe. and since the legs are so long  you end up clingi,Dresses
0,If you look closely at the pattern it is a giant triangle running across the front of your body. this doesn't do great things really if you have more of an hourglass shape or small waist. it completely removed the idea that you have a small waist and draws attention to the area of the triangle that is the largest. also  i agree with another reviewer about being cautious about buttons  as several were off some of the dresses.,Dresses
0,"The cotton  the print  and the online presentation of this dress are beautiful  i ordered right away! but there are some discrepancies. the shoulders have a ""puff"" to them that i don't notice on the model  and that doesn't flatter athletic shoulders. the buttons are (cheap) difficult to button. the waist sits much lower on the model than it must on anyone else  it's nearly empire on me. and  there is a lot more volume in the skirt of the dress than is shown in any photo. because the dress is tig",Dresses
1,This dress fits true to size and is great to wear around on a warm day. you can dress it up or down so there are many uses for it. this brand has always provided great quality too. i'm excited for warmer weather!,Dresses
1,Absolutely adore this dress and plan onwearing it to a wedding. it is so well made and luxurious  i feel amazing in it! even more gorgeous in person,Dresses
1,"This dress is a lovely creation! however  i had to buy it three times before finding the proper fit. it runs extremely large!! i am 5'4""  weighing around 128. i ordered a 4 petite the first time because others stated this dress ran small. ha! it was a sack!!! the 2 petite was little better. the 0 petite was perfect! but i have never worn a 0 petite in my entire life!    otherwise  this dress is an original that i will enjoy for many years to come! if only it had been made of silk  it would be un",Dresses
1,I originally eyed this dress online - the lovely and comfortable weight of it can only be appreciated in person  however. it's a dress i'd be able to wear for hours on end.,Dresses
1,I loved the styling of this dress the first time i saw it. i ordered it and i slipped it on and wow! it is super comfortable. the darts at the waist add shape and interest. the shape highlights the waist. the fabric is cozy without being weighty. i did find it ran large and wish there was an xxs available. my husband loved it and he doesn't like anything! it is likely that the reviewers who think that t looked like a nightgown may have needed a smaller size. i think this one is a diamond in the,Dresses
1,I received this dress yesterday and it exceeded expectations! i was not expecting the fabric to have a slight stretch and felt that the fabrication aided to the overall comfort of the dress without losing any of the quirky elegance. due to the stretch  however  i immediately ordered a size down for comparison. i'm a pretty solid 2 with eva franco dresses but with this cut i had about an inch of fabric in the waist. regardless  i'm keeping the dress - jury is just still out on which side!! measur,Dresses
1,Very pleased with this vibrant and colorful sweater dress. the color combinations are very beautiful and it seems as if the threads used have an inherent shimmer. the fit is body skimming without highlighting trouble spots. i am a m/l on top and a s/m on bottom and the size medium fits perfectly. the cut adds the illusion of proportion to my disproportionate body. there are some problems but workable: slip is sewn-in which i wish was detachable; the scoop neck is too low for my 36ddd bust; weave,Dresses
1,Love everything about this dress...cut  color  material and price!,Dresses
1,First i definitely understand why most reviewers either adore or hate this dress. luckily for me it worked in my favor although i will point out the downsides too. (1) it runs small. the only reason i was able to fit my usual size is because i have a tiny bust and have been working to tone up. but still i had to maneuver to get the sidezip up. i would size up but....(2) being that this dress runs small it appears more fitted on top as if it were a fit and flare or bustier which i like. (3) you h,Dresses
-1,Did not work for me. material was a bit thin  poor quality  the tie doesn't quite work correctly. had a cheaper look to it. not the quality i'd normally expect. this is going back.,Fine gauge
-1,"I didn't mind the ""scratchiness"" others proclaimed this garment had  but it is made very tight in the arms and across the back. looks great from the front  but uncomfortable.",Fine gauge
-1,I was expecting elbow-to-full-length sleeves and like a previous review noted  they were short. very weird look for a wrap. returned.,Fine gauge
-1,I was so excited to try this on in the store  because i've had my eye on it online. unfortunately  it is not like the picture. the material is very thin  almost translucent. i also could not figure out how it get it on! the cape has short sleeves  not long  as it appears in the picture  and the folds of fabric would not drape quite right in the front. love the look of black design on white. hopefully retailer can redo this in a thicker cape for the fall  but for now  i'll skip this one.,Fine gauge
-1,"I had this in my cart for a week before i took the plunge  because i thought it would make the cutest boho statement piece that could go from beach to casual evening outings. i'm 5'9""  so i got the m/l to ensure length. maybe that was wrong? if the ""laid flat width"" was included maybe that would have been more helpful  but this thing was massive and looked like a potato sack. the side slits (of course hidden in the photos) came up to just over my natural waist  enhancing that effect. i loved the",Fine gauge
-1,This was so boxy and unflattering. i loved the lining and the fabric was very soft but it looked like i was wearing a bag. was hoping to use this as a cute top layer for dresses but it was a terrible fit. sizing down would not help this one. went back!,Fine gauge
-1,Loved the color and the deshn. but when i put on  did not look right. waist was too short and the arms were long.,Fine gauge
-1,I loved the style so i ordered on line. it runs small and the arm inserts are so low its awkward to wear. i wish the cut was better cause i love the look but not the fit. i am returning this item..,Fine gauge
-1,"Wanted to love this sweater for its beautiful colors and cute graphic  but the fit is uncomfortably small and it is so itchy i was yelling  ""get it off"" in the fitting room. bummer.",Fine gauge
0,Bought this item on sale and was very disappointed in the quality for the cost. fabric feels cheap  like it will snag easily and will stretch out quickly. did not flatter the female form- felt like a burlap sack. gorgeous blue color but not worth the price tag. returned it.,Fine gauge
0,Love the design with the buttons down the back but unfortunately this did not work for me. the colors were brighter than shown on the website which was my first disappointment  i prefer more muted colors. the second disappointment was the material. for me it was just too itchy. unfortunately  this one's going back.,Fine gauge
0,Dang  i got a small and was still swimming in it. it's made of the fabric that increasingly seems to be the fabric of choice for all things t-shirty- soft and thin-ish  a bit translucent. i'd rather wait for something more formfitting and flattering- back it went.,Fine gauge
0,"I bought this sweater online as soon as i saw it. but like the other reviewers i agree it is shapeless and sticks out too much at and below the waist. if it were a softer fabric maybe the flair would work but not for this one. i am 5' 2""  115lbs  32d and got the xs. maybe if you aren't chesty it won't flare out as much. sadly i had to return it. i was so excited for it  o well.",Fine gauge
0,"I wanted to love this turtleneck. i read the reviews before ordering. i love the color  the weight of the knit  the ribbing. the small fit me perfectly; i am a 34b  not broad shouldered  and on the thin side in my upper body. however  this item has a strange ""blousy"" fit. the picture of the back view hints at this but it's worse in person. it's like a bell shaped top or even slightly trapezey  which simply doesn't work with my shape. plus  i'm long waisted. i could have made this work had it not",Fine gauge
0,I agree with the other reviewers; this sweater was strangly shaped in the waist  in an unflattering way. the rest of it was beautiful though. looks too much like maternity  even in a petite xs  so it's going back.,Fine gauge
0,"Just got this in the mail yesterday and i want so badly to love it but it's just a little too big and boxy. i'm 5'5""  125lbs and ordered a small but i really wish i'd ordered the xs. not sure if i'll exchange or just return. seems high quality and the pattern is gorgeous. it's basically exactly what i'm looking for until i actually put it on and then it just kind of looks like i'm wearing my grandpa's old sweater.",Fine gauge
0,Unfortunately this piece has a very boxy cut and the white layer is stiff and billows out - i am tall and thin but this made me look pregnant - very unflattering. i considered trying a smaller size  but i did not like the material too much either so i just returned it.,Fine gauge
0,This is the prettiest little sweater with such nice details. but it will not work well on a person like me with a full bust (38d) even in a larger size than i normally wear. it is also very  very short in the body. i would recommend it for a petite person with a small bust though.,Fine gauge
1,I thought this sweater was pretty and soft and would be comfortable to wear. i really liked the high collar and the interesting poncho-like design. but the sleeves were a bit short on me. and i thought it was a little pricy. i decided against it for those reasons. but if you don't mind those things  then you might like it. it's definitely worth the try.,Fine gauge
1,I'm an xl in retailer tops  and the xl fits nicely in this blouse. if you are athletic or slender or have a petite bust  you can probably size down.  .  this is a nice lightweight sweater. i would not say that it is too thin or anything like that; its just lightweight for being categorized as a sweater. i absolutely love the pattern placement of this sweater  it makes the sweater so unique and figure flattering. honestly  i'm not crazy about kimono/bell sleeves because i feel they are at best impr,Fine gauge
1,I just purchased this cardigan  it is better in person than the picture. the fit is fabulous  it is very versatile. it can be worn with many different options  definitively be wearing often.,Fine gauge
1,"I like this sweater very much. it's short but not too short  and soft but not fluffy. the design is a little interesting rather than plain and the colors (i ordered the tan) are great for me  a redhead. i'm 5'3""  125 lbs and don't like clingy tops so i took a m and it's perfect. really cutewith jeans.",Fine gauge
1,This is a pretty sweater. i ordered the red and it is a plum color  not close to red  but it will work well with black  gray and denim. i found the sweater looks boxy from the front but the back is spectacular. it is very well made. no raw edges or seams that are threatening to unravel. this will be nice for casual holiday dressing. i found a longer tank in white works well under this.,Fine gauge
1,These are colors i normally never wear...baby pink  lavender  light blue...but what drew me to this was the wine color mixed in. it's my favorite. i also adore a good poncho. this poncho is so rich and so heavenly. super soft  very oversized  incredibly nice fabric...its like a light weight sweater. lots of movement and such a statement piece  it will look great over a white tank top  or an all black ensemble with great boots. this only comes in two sizes but runs large. i'm 5'8 and curvy...and,Fine gauge
1,This polo shirt has just the perfect amount of feminine detail to make it a great addition to my wardrobe. i love the shorter version  and it looks great with both jeans or skirts.,Fine gauge
1,"This is a great sweater. it can be worn ""wrapped"" as on the model  or open like a cardigan. it is a lighter weight knit  perfect for how warm this winter has been. i love the deep purple color. normally between a small and medium and went with the medium in this sweater.",Fine gauge
1,"I purchased the red color in august after seeing it in the store. it is cozy and stylish-love the coordinating pattern in the cowl neck. i am 5'7"" and 135 lbs and the s fit great. noticed that it is now on special promotion and would advise you purchase now! it is completely worth full price but if you can save and buy say a coordinating pilcro pant  all the better  right??",Fine gauge
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
1,Great style and cut  love the deep v. the fabric is soft and its very comfortable. it gives some support. i don't wear it with light blouses or shirts  unless i'm hanging around the house. i have this is pink and black.,Intimates
1,This is a tts cami that should be a staple in everyone's closet. great for layering.,Intimates
1,This is so beautiful! i loved it online  but it's even prettier in person. it's a little greener than it appears in the photo. the straps are actually a green rather than white. i'm 5' 6'' 123 lbs and the xs fits perfectly. worth the money!,Intimates
1,This tank is perfect. it fits close to the body  but does not squeeze. it is super soft  smooth  and comfy. it layers perfectly under blouses. this is by far my favorite basic tank!,Intimates
1,The design is gorgeous and the fabric feels great. not a lot of functionality  then again i did buy the kimono to feel sexy and not to keep warm! i ordered the xsmall/small and feel i should have ordered the med/large. unless you're super tiny/fit  i'd recommend sizing up here. i bet it would still be super flattering a touch larger!,Intimates
1,A great long line bra! beautiful and well made however it's tough to get the fit perfectly right. i usually wear a 32 b or 34 a and am 115lbs. the small was the best fit as the 32 (xs) was a very small 32. i could almost say it more of a 30 if that's even a size. it also rubs my skin few places so definitely not meant to be worn for more than a few hours. otherwise i recommend it!,Intimates
1,This bra is extremely comfortable and surprisingly supportive considering the lack of padding or firm material. it also runs large.,Intimates
1,Just received the bra and matching panty in the mail and loved it. the true color is a little darker  i would call it a taupe. the fabric is really nice. i am a 34 c and ordered a medium just from my freepeople bra experiences  and they run small. the medium is perfect for my size. i usually order a small panty  and this one fits  it looks smaller than pictured on the model. this set is one of a kind  the pattern on fabric is really beautiful. i think it is worth the price. if you like lingerie ,Intimates
1,This bra is obviously very pretty and feminine  but i was surprised that it's also really comfortable! it provides a pretty good amount of support  especially for an unlined bra  and feels pretty sturdy despite there not being much there. my 34b fit true to size.,Intimates
-1,I was really excited for this jacket to arrive but it's going back. because the fabric is coated  it does not drape or hang nicely at all. i expected it to be boxy but it sticks out so oddly in every direction that it looks horrible. i'm usually an xs and ordered an xs and it looks ridiculous on me.,Jackets
-1,"I might be the only odd person out there who think this jacket is not perfect at all. a lot of other reviewers said that the jacket runs small. for me  it's not true at all  i had to go to xxp petite to find the fit acceptable  but it was simply too short (rather than 20"" as it states on the website  it's more like 18"")  which is a thing i almost never experienced because i am a petite person! i don't even want to go regular size because it would've been too big. i saw some photos that others po",Jackets
-1,"I didn't receive a jacket. i received a very expensive cardigan sweater with no structural qualities to it. jackets have some structure to them. for example they might nip in at the waist a bit. this cardigan doesn't do that. it hangs in a very boxy shape. the quality is great. very light weight and i really love the little pockets and details  but i don't need/want another cardigan.     i'm 5'5""  118 lbs and got a small. the small seemed big  but i think it would have fit fine if it had more st",Jackets
-1,I love the photo of this and because the reviews were so positive i ordered it. i was shocked when i opened the package. first  the fabric is not the silky rayon cotton blend i was expecting. it looks and feels more like a cheap cotton. it does not have the drape or feel or look i expect in a kimono  which brings me to the second disappointment. it is not a kimono at all. it has no kimono sleeve  no sleeves at all in fact. just a slit in the side of the body of the garment you put your arm throu,Jackets
-1,"I bought this jacket based on how it looked on the model  and from the reviews. i found it to be super big  and unflattering to say the least. i'm 5""10  155lbs. i sent it back.",Jackets
-1,I was hoping that this would be a nice neutral layering staple but it simply leaves a lot to be desired. it fits tts  length is fine...the inside is some  but the outside darker material is stiff and cheap (kinda canvas feeling?). the material is super stiff which makes it flare out like like a tent in a super unflattering way. it also is on the thinnish side - it looks in the model shot like it would be a little thicker and warm. this is definitely going back.,Jackets
-1,The colors on this kimono are amazing and i really loved it  however  i too noticed the 'delicateness' of the material. it is so delicate that parts were starting to fray - including next to the kimono's label. so sad.,Jackets
-1,Love retailer's kimonos and when i saw this pattern i had to have it! unfortunately  when i bought it the tag was already showing holes so they gave me 15% off... went to wear it for the first time  there was already a huge snag in it! i love retailer but for 98$ this is not worth your money.,Jackets
-1,I didn't realize that the grey sleeves are attached (i assumed that was just an undershirt on the model). needless to say it looks cheap and poorly made. will be returning,Jackets
0,Ordered this vest in both the xs and pxs. i liked the length and overall fit of the xs  however  i ended up returning both due to how the vest draped. the outer fabric is a bit more stiff which made the vest balloon out more then what i liked. overall  it?s not a terrible vest but just not for me.,Jackets
0,I was excited to see this offered by retailer because i have been looking for a light blue summer jacket or blazer that isn't a denim jacket and this seemed to fit the bill. i've ordered several cartonnier blazers in 00p  as early as 2013 and as late as spring 2015  and have been very happy with them. on the plus side i would say that the color is depicted accurately and it does seem like a high quality jacket. but while the shoulders and sleeves were a pretty standard fit for 00p  it was much too,Jackets
0,I snagged this the first day i wore it with my wedding ring. it is very delicate and i can't wear it when i'm with my kids because they pull on it so much! it will just me by night out wrap i guess!!!,Jackets
0,"How can some reviewers say this jacket is true to size  yet others say it runs small? i think it's because this jacket is cropped. by the time i took advantage of the fall perks 20 percent discount  the xs peach was sold out so i ended up ordering size s. i also got the xs gray to compare. sure enough  the xs looks better but is cropped on me. for ref  i'm 5' 5""  32a  115 lbs. i don't really need another almost black jacket so i'm either sized out or have to exchange for xs peach to wear with dr",Jackets
0,This jacket is cozy  warm  and very cute  but after the 1st washing (according to the manufacturer's instructions) it began to pill and has worsened each time.,Jackets
0,The color and design/style are cute but i found this to be too oversized. if you want to layer it  then it might be for you  but i was hoping for more of a tailored look.,Jackets
0,This is a very pretty jacket. light weight and perfect for spring/fall. i had ordered it online as it was not in my retailer store. i did end up returning it though. it does run large  i am usually a l/xl and based on previous reviews i did size down and get the l. the pockets for me were a little big an pushed out having an unflattering look! i was sad to have to send this one back! i was hoping to love it! someone smaller might love it!!,Jackets
0,This design looks really sharp on the image  but in reality this jacket felt more like a jacket you would get at forever xxi.  the fabric had that polyester/shiny quality to it that made it look cheap.  since the fabric was pretty soft  with a gray jersey lining  it felt more like a padded jacket than a constructed blazer.      i also thought the cut was small if you have a bust larger than a b  i felt like i was busting out of a size 8  and i am a 34d.,Jackets
0,"Tried the navy in store. boy does it run big! i'm normally a size 6 / small (ish). 5'6""  34a-28-36. the xs was still quite boxy on me while the sleeves were well fitted. i understand this is the style and i like the design with the different sleeves. it was a no buy as the main fabric was already pilling in store and looked a bit cheap - sorry!",Jackets
